序号,角色,作品,CV,预选 轮次1-1,预选 轮次1-2,预选 轮次2-1,预选 轮次2-2,预选 轮次3-1,预选 轮次3-2,第一阶段 轮次 1,第一阶段 轮次 2,第一阶段 轮次 3,第一阶段 轮次 4,第一阶段 轮次 5,第一阶段 轮次 6,第二阶段 轮次 1,第二阶段 轮次 2,第二阶段 轮次 3,第二阶段 轮次 4,第二阶段 轮次 5,第二阶段 轮次 6,第三阶段 轮次 1,第三阶段 轮次 2,第三阶段 轮次 3,第三阶段 轮次 4,第三阶段 轮次 5,第三阶段 轮次 6,第四阶段 轮次 1,第四阶段 轮次 2,第四阶段 轮次 3,第四阶段 轮次 4,第四阶段 轮次 5,第四阶段 轮次 6,第五阶段 轮次 1,第五阶段 轮次 2,第五阶段 轮次 3,第五阶段 轮次 4,第五阶段 轮次 5,第五阶段 轮次 6,淘汰赛阶段 轮次 1,淘汰赛阶段 轮次 2,淘汰赛阶段 轮次 3,淘汰赛阶段 轮次 4,淘汰赛阶段 轮次 5,淘汰赛阶段 轮次 6,淘汰赛阶段 轮次 7,淘汰赛阶段 轮次 8,淘汰赛阶段 轮次 9
75,平泽忧,轻音少女,米泽圆,,983,,1305,,,865,436,523,1056,607,,913,717,685,748,1464,861,396,1391,585,307,855,,,,,,,,,,,,,,,8205.7,,,,,,,
76,七草荠,彻夜之歌,雨宫天,,969,,1251,,,818,337,668,1073,693,,657,826,688,845,1404,665,322,1148,1005,437,866,490,,,,,,,,,,,,,,,,,,,,,
77,椎名立希,BanG Dream!,林鼓子,,903,641,,,,892,729,604,1192,899,,950,801,807,683,1717,,554,1276,726,728,459,403,,,,,,,,,,,,,,,,,,,,,
78,亚托莉,ATRI -My Dear Moments-,赤尾光,,803,,1115,,,1245,994,795,1189,1462,77,1291,1099,1062,1162,1722,130,1107,1734,1398,700,1125,,945,950,976,1204,1415,97,929,837,840,541,481,8678.1,641,1103,,,,19279.7,,,
79,宫水三叶,你的名字。,上白石萌音,,790,878,,,,1069,995,608,1033,855,,986,921,820,668,1389,,607,783,1123,412,816,731,465,721,388,801,1216,,,,,,,,,,7408.4,,,,,,
80,唐可可,LoveLive!系列,Liyuu,,734,626,,,,689,603,468,995,738,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,户山香澄,BanG Dream!,爱美,,727,,694,,,578,596,403,880,645,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,藤原千花,辉夜大小姐想让我告白～天才们的恋爱头脑战～,小原好美,,714,580,,,,840,537,552,954,815,,922,768,690,758,1527,,482,1314,583,647,711,,,,,,,,,,,,,,,9060,,,,,,,
83,立华奏,Angel Beats!,花泽香菜,,700,,622,,,753,643,601,1126,1288,,870,926,700,898,1853,868,481,1584,1097,527,1047,,837,512,676,808,1901,909,766,490,499,575,595,8413.6,457,1021,,,,18239.5,,,
84,灰原哀,名侦探柯南,林原惠,,692,,783,,,725,421,456,1020,811,338,547,1065,721,545,1355,,,,,,,,,,,,,,,,,,,,3934.1,,,,,,,,
